,username,fullName,biography,externalUrl,followersCount,followsCount,hasChannel,highlightReelCount,isBusinessAccount,joinedRecently,businessCategoryName,private,verified,profilePicUrl,postsCount,med_likes,status
0,njfnzhadau,njfnzhadau,,False,85.0,6147.0,False,0.0,False,False,,False,False,True,10.0,1.0,0
1,mona.babr,,,False,192.0,5867.0,False,0.0,False,False,,False,False,True,4.0,22.5,0
2,asadosivandf,,,False,145.0,6257.0,False,0.0,True,False,Creators & Celebrities,False,False,True,22.0,2.0,0
3,arezu_0099,,,False,75.0,3693.0,False,0.0,False,False,,False,False,True,22.0,0.0,0
4,tmtbylayinka,Layinka,"Award Winning MUA
Destination Wedding MUA
Bridal Makeup
Beauty Educator
Creative Director
tmtbylayinka@gmail.com
2348036392542
Lekki Phase 1
No Refund",True,59503.0,1911.0,False,3.0,False,False,,False,False,True,2853.0,838.5,1
5,h11344.5,h11344.5,,False,84.0,5633.0,False,0.0,False,False,,False,False,True,5.0,1.0,0
6,sara1112500,sara.1112,,False,71.0,4982.0,False,0.0,False,False,,False,False,True,26.0,2.5,0
7,ali.ali.21216,ali.ali.2121,,False,103.0,5841.0,False,0.0,False,False,,False,False,True,0.0,,0
8,stoppa_l,_____Marwaan cade______,There is love there is pain,False,2090.0,6048.0,False,0.0,False,False,,False,False,True,3.0,18.0,0
9,mmd_alili,,"ِ
•••بسم‌الله‌الرحمن‌الرحیم•••
🇰🇷..🇨🇳..🇯🇵..🇰🇷
ِ
👑Shryar👑
🌵یِه نَخ وینِستون‌ِعآبی💧🌷
ِ
☁️عَجآیِبِ زِندِگیّ☁️",False,454.0,2894.0,False,0.0,False,False,,False,False,True,5.0,49.0,0
10,antolecky,Dr. Munirat Antoinette Lecky,"Educator | Entertainer | Entrepreneur
@antoxtarieshairbuilder 
@room22agency 
@o_compatriots 
@thelivewireproject 
@arisenvoteng 
📍Lagos NG
#LiveWire",True,888612.0,1373.0,False,8.0,False,False,,False,True,True,2054.0,1346.0,1
11,5x_77883,فطوم♥️🌹,"‏‮m_argatsniyab ‬‏‪♫: 𝑺𝑶𝑺🔗. 
♫: 16: 𝒀.𝑶🐆. 
♫: 𝑰𝑹𝑨𝑸🇮🇶🌿.
 
- عيناها تقنع الملحدين بأنّ الله مُبدع .‏‮m_argatsniyab",False,98.0,5175.0,False,0.0,False,False,,False,False,True,4.0,5.0,0
12,mr.seda.71,آقای صدا,,False,60.0,5194.0,False,0.0,False,False,,False,False,True,23.0,2.0,0
13,amirt.mb,,,False,44.0,846.0,False,0.0,False,False,,False,False,True,10.0,0.0,0
14,kasbokar_enternati,کار اینترنتی,کسب و کار اینترنتی فوق الاده با دستمزد بالا حتما امتحان کنین🌷🌷,False,77.0,3080.0,False,1.0,True,False,Creators & Celebrities,False,False,True,4.0,6.0,0
15,tintina202,,,False,112.0,6771.0,False,0.0,False,False,,True,False,True,23.0,,0
16,shadloohesam9090,,,True,63.0,651.0,False,0.0,False,False,,False,False,True,26.0,0.0,0
17,mariiijjjooon,mariiii,"New page
Hmd
Fitnes
Ordibeheshti",False,432.0,5803.0,False,0.0,False,False,,False,False,True,5.0,21.0,0
18,reza_jan_1381,,,False,52.0,3152.0,False,0.0,False,False,,False,False,True,7.0,4.0,0
19,tinatehrani59,,,False,97.0,7575.0,False,0.0,False,False,,False,False,True,22.0,2.5,0
20,marina_abla,Marina,"Poised 
🇬🇭",False,1475.0,1255.0,False,14.0,False,False,,False,False,True,26.0,453.0,1
21,jher_sika,Jessica Miller,"💕God's own❤
Kindly follow my business page @millinery_by_jess",False,487.0,562.0,False,0.0,False,False,,False,False,True,16.0,72.5,1
22,miro.nj8,بک بده💙,,False,68.0,2088.0,False,0.0,False,False,,False,False,True,5.0,0.0,0
23,zaiden001,zaiden001,indonesia,False,5.0,411.0,False,0.0,False,False,,False,False,True,6.0,0.0,0
24,maverickcitymusic,Maverick City Music,"unorthodox, free spirit, rule breaker, one that breaks away from the herd. 🙌🏾🔥",True,1754620.0,1645.0,False,9.0,False,False,,False,True,True,1176.0,14875.0,1
25,harfeh.hesaab,حرف حساب,"مرا می‌بینی و هر دم زیادت می‌کنی دردم
تو را می‌بینم و میلم زیادت میشود هر دم
#عکسنوشته #عکس_نوشته",False,1718.0,58.0,False,8.0,False,False,,False,False,True,136.0,18.0,0
26,dash_ali13812002,dash ali,,False,695.0,6626.0,False,0.0,False,False,,True,False,True,19.0,,0
27,ibrahimsuleimanofficial,CaptainQuest,"#ManInTheBox 
Creative.
Architect | Actor | Artist | Author | Choreographer | TVPresenter | VoiceOverArtist
#SerialSlasher 
Creating cool since 2002!",True,185359.0,3150.0,False,23.0,False,False,,False,False,True,1324.0,978.5,1
28,helen12jj,,,False,86.0,3629.0,False,0.0,False,False,,False,False,True,4.0,5.0,0
29,ama_bowartemaa,Nana Boatemaa Asafo Agyei,"My God reigns💫
antemidwyf😀
Music lover❤️",False,1136.0,1867.0,False,0.0,False,False,,False,False,True,16.0,214.5,1
30,be_hnam7444,behnamm,,False,15.0,21.0,False,0.0,False,False,,False,False,True,0.0,,0
31,0n_77885,نورهه♥️🖤🧿,"لا تغير نفسك بسبب شخص ..
ولا تقلد احد ..
ولا تتبع اي كلام تسمعه ..
ولا تاذي نفسك بسبب شخص ..19/1",False,96.0,6101.0,False,0.0,False,False,,False,False,True,4.0,11.0,0
32,naa_tiokor,Naa 🇬🇭,"Travel • Lifestyle • Foodie
Full time Corporate Chic
Part time Luxury Lover
#blackgirlmagic✨",False,2036.0,213.0,False,0.0,False,False,,False,False,True,317.0,60.5,1
33,erfan_janat_3,erfan_janat_3,"فروش پک آموزشی هک اکانت
بدون بن شدن
قیمت: ۲۲۰ هزار تومان
ID Telegram: @Ali_7_R تعداد محدود با ۵درصد تخفیف",False,128.0,5172.0,False,0.0,False,False,,False,False,True,23.0,0.0,0
34,tsui_aku_,Tsui Aku | Luxe Handmade Bags,"| Creative Handmade Bags |
🎨Wearable Art 
▪︎ Contemporary Ghanaian Pieces
▪︎ For the Bold, Modern and Edgy
📍Accra, Ghana 🇬🇭
✈️Worldwide Shipping",True,7556.0,1304.0,False,10.0,True,False,Creators & Celebrities,False,False,True,1992.0,44.5,1
35,theangeljbsmith,THE ONE🤞🏿,"𝗙𝗮𝗶𝘁𝗵 𝘄𝗶𝗹𝗹 𝗵𝗮𝗻𝗱𝗹𝗲 𝘁𝗼𝗺𝗼𝗿𝗿𝗼𝘄.
𝐏𝐨𝐝𝐜𝐚𝐬𝐭𝐞𝐫| 𝐬𝐩𝐨𝐢𝐥𝐞𝐝 𝐛𝐫𝐚𝐭| 𝐦𝐮𝐦𝐦𝐲 𝐭𝐨 @ofbloodbonesandwater 
𝐁𝐎𝐔𝐑𝐆𝐄𝐎𝐈𝐒𝐄
Bookings/Email: Angel@bfaandcolegal.com",True,1180174.0,288.0,False,12.0,False,False,,False,True,True,210.0,14765.0,1
36,vvvv77770987,,,False,35.0,378.0,False,0.0,False,False,,False,False,True,5.0,2.0,0
37,rohangiz443,,,False,122.0,6007.0,False,2.0,False,False,,False,False,True,22.0,6.0,0
38,papa.r85,,,False,142.0,6496.0,False,0.0,False,False,,False,False,True,1.0,10.0,0
39,naalebrecht,Naa Aku Lebrecht,,False,399.0,605.0,False,1.0,False,False,,False,False,True,77.0,29.0,1
40,adwoa.noella,Vanessa Nyarkoa Donkor,"Child of Grace🤍
Proud Fante🤝🇬🇭
TV Presenter @tv3_ghana 
Actress||MC
Brand Influencer✨",True,89537.0,1170.0,False,3.0,False,False,,False,False,True,224.0,8589.0,1
41,officialnanaadwoa,Nana Adwoa Nimoh,Won’t Stop; Cannot be stopped; Expounding the beauty of Christ in my own little way. My name is  Nana Adwoa and I AIN’T STOPPING!,True,35500.0,476.0,False,1.0,True,False,Creators & Celebrities,False,False,True,234.0,1049.5,1
42,emelia_kumah,Emelia Kumah🌹🇬🇭,"Faith, family, positivity, and lots of ❤️.
Music Lover🎶",False,761.0,458.0,False,0.0,False,False,,False,False,True,68.0,115.0,1
43,jenab_mohammadreza,×ｰʂѐถåṱồṙｰ×,"با قلبی که سمت چپه .نمیشه راه راست رفت
🏠Ardabil 🏠
👑Turk 👑
#love_car
#awat_bokani
📥تبلیغات و سفارشات پذیرفته می شود📤
💙TAJ💙",False,9906.0,584.0,False,4.0,False,False,,False,False,True,4.0,1238.5,0
44,lordin__a,Lordina✨,"@light.wears 
Avoid contamination, limit your time with negative people 🌝
Child of God 🔥...Chemical Engineer👷🏾‍♀️... writer👩🏾‍💻... public speaker👩🏽",True,1316.0,1062.0,False,3.0,False,False,,False,False,True,24.0,119.5,1
45,_.sikapa,CONSTANCE💞🇬🇭,"Short hair 💇‍♀️|Reggae lover 🎶
Gym Enthusiast 🏋️‍♀️|Libra ♎",False,265.0,243.0,False,2.0,False,False,,False,False,True,1.0,59.0,1
46,obibasandy,Sandra Akosua Boatemaa Ampofoh,,False,1282.0,290.0,False,0.0,False,False,,True,False,True,30.0,,1
47,emmanuelesiet,Emmanuel Esiet,"Adam in @n3sbestfriendsintheworld 🎬 
Cartoonist @tinotoonz 🎨
For Brand Deals, Promotions & Advert ⬇️
Email : samuelesiet@gmail.com",False,207689.0,258.0,False,10.0,False,False,,False,False,True,174.0,14238.5,1
48,qanizz1e,,,False,100.0,6220.0,False,0.0,False,False,,False,False,True,4.0,6.5,0
49,tashacobbsleonard,Tasha Cobbs Leonard,"@kennethleonardjr’s Wife... God's Child! Owner: @fritzeyewear, @teeleerecords @bounce_sc and more…",True,2327173.0,1026.0,False,1.0,False,False,,False,True,True,11001.0,3530.0,1
50,sylvia.dugbs,Sylvia Dugbs,,True,608.0,536.0,False,7.0,False,False,,False,False,True,63.0,87.5,1
51,a64802299,a64802299,,False,48.0,633.0,False,0.0,False,False,,False,False,True,10.0,1.0,0
52,Restricted profile,,,True,,,,,,,,,,True,,,0
53,parmis32353,parmis32,,False,47.0,581.0,False,0.0,False,False,,False,False,True,4.0,0.0,0
54,awo_dinah,Awo Yaa,"Registered Nurse💉👩🏿‍⚕️❤️ 
Model👸🏽 
Face Of Narh Bita 2018👑 
Business acc @luxebyawo 
Proud Cancer ♋️ 🥰
#saynotoskinbleaching
 DM for bookings😎💪🏿",False,3854.0,1752.0,False,4.0,True,False,General Interest,False,False,True,292.0,130.0,1
55,hesamshadloo20,,,True,46.0,246.0,False,0.0,False,False,,False,False,True,22.0,0.0,0
56,miss_engmann,DESTINY,,False,276.0,778.0,False,0.0,False,False,,False,False,True,9.0,93.0,1
